,Rule,Support,Confidence,Lift
0,Aster -- > Asteraceae,0.01382852627419992,1.0,8.112179487179487
1,Aster -- > S,0.011457921770051362,0.8285714285714285,3.5029748647788734
2,Aster -- > Y,0.010404319768207559,0.7523809523809524,8.285465658344556
3,Solidago -- > Asteraceae,0.010733570393783748,1.0,8.112179487179487
4,Carex -- > C,0.027327801922823653,1.0,3.2955729166666665
5,Crataegus -- > C,0.022323192414065586,0.9970588235294118,3.2858800551470586
6,Carex -- > Cyperaceae,0.027327801922823653,1.0,15.704239917269906
7,Crataegus -- > R,0.022389042539180823,1.0,3.425671103090458
8,Crataegus -- > Rosaceae,0.022389042539180823,1.0,14.532057416267945
9,Panicum -- > D,0.014289477150006585,0.7508650519031141,7.511618365086095
10,Panicum -- > I,0.01613328065323324,0.8477508650519031,3.1779670789134045
11,J -- > U,0.010601870143553273,0.7219730941704036,3.3641863786657713
12,Polygonaceae -- > O,0.016264980903463715,0.872791519434629,3.5477012885798382
13,Polygonaceae -- > P,0.015804030027657054,0.8480565371024736,3.3971476054967464
14,Panicum -- > Poaceae,0.0190306861583037,1.0,8.493288590604028
15,Rubus -- > R,0.019820887659686554,1.0,3.425671103090458
16,Rubus -- > Rosaceae,0.019820887659686554,1.0,14.532057416267945
17,Rubus -- > U,0.019689187409456077,0.9933554817275747,4.628750029308055
18,1 -- > A,0.01876728565784275,0.49565217391304356,3.0672265334325504
19,Carex -- > A,0.02719610167259318,0.9951807228915663,6.158441099360768
20,Cyperaceae -- > A,0.032069010931120766,0.5036194415718717,3.1165300895315577
21,Carex -- > A,0.02719610167259318,0.9951807228915663,26.79577031530377
22,Aster -- > Asteraceae,0.011457921770051362,0.8285714285714285,19.12262266608771
23,Aster -- > Y,0.010404319768207559,0.7523809523809524,41.54784415584416
24,Aster -- > Y,0.010404319768207559,0.7523809523809524,26.509645343056015
25,Y -- > S,0.01586988015277229,0.8763636363636365,3.7050273334683137
26,Carex -- > C,0.027327801922823653,1.0,21.23916083916084
27,Crataegus -- > C,0.022323192414065586,0.9970588235294118,12.63884415201807
28,Crataegus -- > C,0.022323192414065586,0.9970588235294118,35.2944878650761
29,S -- > C,0.011787172395627552,0.9521276595744681,3.1378061281028367
30,D -- > Poaceae,0.010272619517977083,0.4204851752021563,3.5713019410626092
31,C -- > R,0.02515474779402081,0.8904428904428904,3.050364478742552
32,Crataegus -- > R,0.022389042539180823,1.0,17.6993006993007
33,Panicum -- > D,0.014091926774660871,0.7404844290657439,12.822116921085959
34,D -- > Poaceae,0.025813249045173185,0.4469783352337514,3.796315994888003
35,Panicum -- > D,0.014289477150006585,0.7508650519031141,23.082260482187635
36,Panicum -- > Poaceae,0.01613328065323324,0.8477508650519031,19.684930637122633
37,Polygonaceae -- > P,0.01560647965231134,0.8374558303886926,11.667526825947418
38,Rubus -- > R,0.019820887659686554,1.0,17.6993006993007
39,U -- > R,0.025088897668905572,0.9407407407407408,3.2226683710554678
40,Rubus -- > U,0.019689187409456077,0.9933554817275747,14.111409116477969
41,Rubus -- > U,0.019689187409456077,0.9933554817275747,37.24715147040728
42,Carex -- > A,0.02719610167259318,0.9951807228915663,31.032473219366178
43,Aster -- > Y,0.010404319768207559,0.7523809523809524,47.40936573799644
44,Crataegus -- > C,0.022323192414065586,0.9970588235294118,39.63700338774253
45,Panicum -- > D,0.014091926774660871,0.7404844290657439,28.68621566273568
46,Rubus -- > U,0.019689187409456077,0.9933554817275747,39.59342872838569
